EmployeeNumber,Age,Gender,Attrition,BusinessTravel,Department,JobRole,EducationField,MaritalStatus,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,StandardHours,DailyRate,HourlyRate,MonthlyRate,MonthlyIncome,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
433,22,Male,Yes,Travel_Rarely,Sales,Account Manager,Marketing,Divorced,22,4,1,1,80,950,55,8352,7155,3,2,1,0,Y,Yes,22,3,4,1,2,2,3,0,0,0,0
59,36,Female,No,Travel_Rarely,Engineering,Senior Software Engineer,Other,Married,20,4,1,3,80,309,64,6014,5227,1,2,4,2,Y,No,14,4,4,1,14,4,2,0,0,0,0
1019,38,Male,No,Travel_Frequently,Human Resources,Unknown,Business Administration,Divorced,13,5,1,2,80,111,46,21286,16801,4,4,4,1,Y,No,22,3,3,1,19,5,2,2,2,2,0
1431,38,Female,Yes,Travel_Frequently,Data & Analytics,Data Analyst,Computer Science,Single,3,2,1,3,80,1409,48,22099,10470,2,5,2,8,Y,Yes,13,3,4,0,18,4,3,11,10,9,5
1118,40,Male,No,Travel_Rarely,Engineering,Devops Engineer,Software Engineering,Single,2,2,1,1,80,349,53,7391,3216,2,1,2,7,Y,Yes,22,3,3,1,21,6,3,5,0,0,0
186,28,Male,No,Travel_Frequently,Sales,Sales Manager,Business Administration,Single,10,1,1,4,80,405,69,22605,8777,1,3,4,7,Y,No,24,3,3,3,10,1,2,5,1,1,0
168,37,Female,No,Travel_Rarely,Engineering,Qa Engineer,Information Technology,Married,26,3,1,2,80,1107,60,16101,10042,1,3,2,1,Y,No,15,3,1,2,14,3,3,11,11,6,10
1420,34,Female,No,Travel_Rarely,Engineering,Software Engineer,Computer Science,Married,10,3,1,2,80,135,98,13535,11812,3,3,3,3,Y,No,12,3,3,1,14,3,2,1,1,0,1
250,24,Male,No,Travel_Rarely,Product,Product Manager,Information Technology,Married,12,4,1,1,80,833,56,11251,8285,4,2,2,7,Y,No,23,3,4,0,2,4,2,0,0,0,0
1171,33,Female,No,Travel_Frequently,Engineering,Devops Engineer,Computer Science,Single,13,2,1,3,80,1159,60,12933,12127,3,3,2,7,Y,No,22,4,3,0,9,3,3,9,0,2,0
180,23,Male,No,Travel_Rarely,Sales,Account Manager,Business Administration,Married,16,3,1,3,80,854,31,9435,2595,1,1,2,4,Y,Yes,20,3,1,2,3,2,3,1,1,0,0
118,26,Male,Yes,Travel_Rarely,Data & Analytics,Data Engineer,Statistics,Married,12,1,1,4,80,914,45,9732,8304,4,4,3,2,Y,Yes,18,3,3,2,7,4,3,2,1,1,1
541,20,Male,No,Travel_Rarely,Engineering,Qa Engineer,Information Technology,Divorced,29,3,1,2,80,1405,75,9991,15582,4,4,2,3,Y,No,20,4,2,1,0,2,3,0,0,0,0
839,38,Male,Yes,Travel_Rarely,Data & Analytics,Data Analyst,Data Science,Married,4,1,1,0,80,843,60,23773,2815,1,1,1,6,Y,Yes,23,3,2,1,19,1,0,1,1,1,0
955,24,Male,No,Non-Travel,Data & Analytics,Data Engineer,Computer Science,Divorced,24,4,1,2,80,1045,86,14126,6589,2,2,2,8,Y,No,13,4,1,1,4,2,3,3,3,3,0
359,21,Male,Yes,Travel_Rarely,Sales,Sales Manager,Other,Married,12,2,1,2,80,425,51,6915,17922,3,4,4,6,Y,No,14,3,3,0,1,2,4,0,0,0,0
1159,48,Female,No,Travel_Rarely,Data & Analytics,Bi Analyst,Information Technology,Married,23,4,1,1,80,1315,62,12051,7943,3,3,1,9,Y,No,14,3,4,1,28,2,4,8,8,7,3
61,21,Male,Yes,Non-Travel,Data & Analytics,Data Analyst,Computer Science,Married,24,2,1,4,80,213,70,8129,5127,3,1,2,2,Y,No,20,4,2,0,1,3,3,1,1,0,0
1253,33,Male,Yes,Travel_Frequently,Engineering,Devops Engineer,Computer Science,Single,10,4,1,3,80,171,64,24336,7113,4,3,1,4,Y,Yes,20,3,2,2,13,4,3,4,4,3,2
755,29,Male,Yes,Travel_Frequently,Engineering,Senior Software Engineer,Electrical Engineering,Divorced,2,3,1,1,80,408,75,24171,9703,3,4,4,9,Y,No,19,3,2,2,6,3,2,0,0,0,0
996,24,Female,No,Travel_Frequently,Customer Support,Support Team Lead,Information Technology,Married,1,2,1,2,80,799,84,16024,7276,1,5,2,4,Y,No,18,3,4,1,7,2,2,7,5,1,5
173,31,Male,No,Travel_Rarely,Engineering,Devops Engineer,Information Technology,Married,27,4,1,1,80,884,47,9872,4676,1,2,1,2,Y,Yes,19,3,4,1,10,2,3,9,8,1,3
701,30,Male,Yes,Travel_Rarely,Marketing,Content Strategist,Marketing,Divorced,11,2,1,1,80,882,87,12542,4170,3,1,3,6,Y,Unknown,14,3,2,1,11,2,3,7,4,5,7
229,43,Male,No,Travel_Rarely,Sales,Sales Manager,Business Administration,Divorced,16,4,1,2,80,341,88,19335,9666,1,3,3,2,Y,Yes,13,3,1,3,22,1,1,6,2,5,5
1326,29,Female,Yes,Travel_Rarely,Sales,Account Manager,Marketing,Divorced,17,3,1,3,80,833,69,23498,11810,4,3,1,9,Y,Yes,25,3,4,0,10,0,3,9,4,5,9
639,46,Male,Yes,Travel_Frequently,Customer Support,Support Team Lead,Other,Married,18,5,1,3,80,190,99,5815,5850,1,2,2,9,Y,No,19,3,1,0,25,1,1,20,16,5,20
965,28,Male,Yes,Non-Travel,Marketing,Marketing Specialist,Marketing,Married,23,1,1,1,80,322,93,8396,2806,3,1,1,4,Y,Yes,11,3,1,0,9,3,1,7,3,4,7
64,20,Female,Yes,Travel_Frequently,Engineering,Senior Software Engineer,Software Engineering,Married,17,2,1,1,80,1406,34,3227,20877,2,5,4,2,Y,No,13,3,2,0,1,4,3,1,1,1,0
684,34,Female,Yes,Travel_Rarely,Engineering,Qa Engineer,Computer Science,Married,7,3,1,1,80,477,62,3174,16183,2,5,3,9,Y,Yes,25,3,1,1,13,1,3,7,3,2,4
548,41,Male,No,Non-Travel,Engineering,Engineering Manager,Software Engineering,Divorced,8,2,1,3,80,1159,44,4909,7720,3,2,1,2,Y,No,13,3,4,1,24,3,3,21,13,17,7
1372,41,Male,No,Travel_Rarely,Sales,Sales Manager,Marketing,Single,19,4,1,2,80,405,81,9924,8985,2,3,3,5,Y,No,21,3,1,2,21,2,3,16,2,12,4
415,33,Male,No,Travel_Rarely,Engineering,Software Engineer,Electrical Engineering,Single,15,2,1,3,80,301,67,19771,5190,2,2,2,2,Y,No,21,3,1,2,11,3,2,11,6,8,4
1375,31,Female,Yes,Travel_Rarely,Engineering,Qa Engineer,Electrical Engineering,Divorced,3,4,1,2,80,465,99,9532,6970,2,3,2,5,Y,Yes,14,3,3,0,11,3,2,1,1,1,0
1469,48,Female,No,Travel_Rarely,Engineering,Senior Software Engineer,Electrical Engineering,Married,13,3,1,1,80,188,51,14217,3347,2,1,4,1,Y,No,21,3,3,1,28,3,2,8,2,5,6
694,27,Female,No,Travel_Rarely,Sales,Sales Manager,Business Administration,Married,29,1,1,2,80,1230,76,22332,14186,1,3,2,5,Y,No,23,3,1,1,7,2,3,5,3,1,2
872,53,Female,Yes,Travel_Rarely,Product,Ux Designer,Information Technology,Single,2,2,1,4,80,1325,71,18468,3442,2,1,4,3,Y,No,25,4,4,3,33,3,2,23,21,21,6
599,40,Male,No,Travel_Rarely,Sales,Sales Manager,Marketing,Married,3,5,1,4,80,1471,41,24321,11332,4,3,1,3,Y,No,14,4,2,0,21,2,2,13,12,10,8
485,30,Female,No,Travel_Rarely,Customer Support,Technical Support Engineer,Other,Divorced,24,2,1,3,80,1411,46,5084,11134,4,3,4,9,Y,No,16,3,3,2,9,2,3,0,0,0,0
72,20,Female,No,Travel_Rarely,Sales,Sales Manager,Marketing,Single,10,2,1,1,80,431,43,20676,1448,2,1,2,3,Y,No,13,3,3,1,1,6,3,1,1,0,0
962,36,Male,No,Travel_Rarely,Sales,Account Manager,Computer Science,Married,13,4,1,4,80,258,48,14395,10281,1,3,2,0,Y,No,11,3,4,1,17,0,4,16,2,2,11
1306,36,Male,No,Travel_Frequently,Engineering,Senior Software Engineer,Other,Married,24,2,1,1,80,165,60,22929,10344,2,3,2,4,Y,No,19,3,2,2,19,4,2,12,12,3,0
452,34,Male,No,Travel_Rarely,Engineering,Devops Engineer,Electrical Engineering,Married,23,3,1,1,80,943,43,12954,5133,1,3,4,8,Y,No,15,4,2,0,18,4,2,18,12,12,4
518,48,Male,Yes,Travel_Frequently,Engineering,Qa Engineer,Information Technology,Married,13,4,1,2,80,125,74,17968,5656,1,2,1,6,Y,No,20,3,2,1,28,1,3,15,15,9,0
1304,31,Male,No,Travel_Rarely,Engineering,Software Engineer,Electrical Engineering,Divorced,25,3,1,4,80,828.5,55,18261,5587,1,2,2,3,Y,No,24,3,1,1,15,2,2,7,7,5,5
1121,21,Male,Yes,Travel_Rarely,Engineering,Senior Software Engineer,Unknown,Single,18,3,1,4,80,427,97,2521,9227,2,3,2,2,Y,Unknown,20,3,3,1,2,1,3,0,0,0,0
475,23,Female,Yes,Travel_Rarely,Customer Support,Customer Support Specialist,Information Technology,Married,16,2,1,3,80,507,54,2590,4191,4,1,3,4,Y,Yes,15,3,2,0,1,3,3,0,0,0,0
1417,23,Female,Yes,Travel_Rarely,Sales,Sales Executive,Other,Single,15,4,1,1,80,1100,76,15512,12292,1,3,4,1,Y,Yes,21,3,1,0,0,3,2,0,0,0,0
666,32,Male,Yes,Travel_Frequently,Sales,Sales Executive,Business Administration,Divorced,4,3,1,1,80,591,65,20531,1434,1,1,3,2,Y,No,18,3,2,1,9,3,3,1,1,0,1
789,38,Male,No,Travel_Rarely,Customer Support,Support Team Lead,Information Technology,Unknown,27,1,1,3,80,942,76,11961,3710,1,1,3,8,Y,No,25,4,4,3,21,4,3,16,4,7,14
96,31,Female,No,Non-Travel,Product,Ux Designer,Other,Single,2,3,1,1,80,624,65,12443,15762,3,4,3,5,Y,No,11,3,3,0,11,5,3,5,4,1,4
211,41,Male,No,Travel_Rarely,It Operations,It Manager,Information Technology,Single,4,5,1,2,80,1241,31,19113,6609,3,2,2,1,Y,No,22,4,1,1,17,4,2,5,4,4,2
699,35,Female,Yes,Travel_Rarely,Customer Support,Support Team Lead,Business Administration,Married,5,4,1,2,80,102,60,10033,3796,3,1,3,8,Y,No,22,3,3,2,14,3,3,4,4,1,1
1052,22,Female,No,Travel_Rarely,Product,Product Manager,Information Technology,Divorced,26,4,1,3,80,956,71,10132,5999,4,2,4,3,Y,No,17,4,2,0,4,3,3,4,0,1,0
1269,22,Male,Yes,Travel_Rarely,Engineering,Senior Software Engineer,Information Technology,Married,16,3,1,3,80,1180,64,11325,18605,1,4,1,1,Y,No,17,3,3,1,6,3,3,2,2,1,2
349,33,Male,No,Non-Travel,Data & Analytics,Data Engineer,Data Science,Single,9,3,1,4,80,420,33,21335,11528,1,3,3,0,Y,Yes,14,3,2,1,10,3,3,8,1,2,5
142,32,Male,Yes,Travel_Rarely,Sales,Sales Executive,Other,Single,25,3,1,3,80,147,83,8856,11484,4,3,4,3,Y,No,15,3,4,1,9,2,2,0,0,0,0
743,26,Male,No,Travel_Frequently,Sales,Sales Manager,Marketing,Single,14,4,1,2,80,1246,37,5832,8501,1,3,3,1,Y,Yes,15,3,3,1,4,4,3,4,3,1,4
1396,49,Female,Yes,Travel_Rarely,Engineering,Software Engineer,Computer Science,Married,11,3,1,2,80,161,42,7475,8997,3,2,3,8,Y,Yes,25,3,4,1,31,2,3,23,9,18,12
1140,24,Female,Yes,Travel_Rarely,Data & Analytics,Data Engineer,Unknown,Married,18,4,1,1,80,828.5,71,7654,5917,3,2,3,4,Y,No,14,4,4,0,8,4,3,5,5,5,4
